Water Year,prev_JAS_ONI,prev_sep_pna,prev_broncos,OND
1981,0,-0.05,0.5,0.1
1982,-0.2,0.15,0.63,-0.2
1983,1.1,1.05,0.22,2.2
1984,-0.1,-1.59,0.56,-1
1985,-0.2,0.03,0.81,-0.9
1986,-0.5,-0.71,0.69,-0.3
1987,0.4,-0.29,0.69,1.1
1988,1.7,-3.07,0.71,1.3
1989,-1.1,-1.11,0.5,-1.8
1990,-0.3,0.54,0.69,-0.2
1991,0.4,-0.5,0.31,0.4
1992,0.6,1.43,0.75,1.2
1993,0.1,-1.31,0.5,-0.3
1994,0.3,-1.12,0.56,0
1995,0.4,-2.38,0.44,1
1996,-0.5,1.52,0.5,-1
1997,-0.3,-0.28,0.81,-0.4
1998,1.9,0.31,0.75,2.4
1999,-1.1,0.55,0.88,-1.5
2000,-1.1,0.44,0.38,-1.5
2001,-0.5,-1.4,0.69,-0.7
2002,-0.1,0.1,0.5,-0.3
2003,0.9,0.77,0.56,1.3
2004,0.2,0.76,0.63,0.4
2005,0.6,-0.08,0.63,0.7
2006,-0.1,1.63,0.81,-0.6
2007,0.3,0.42,0.56,0.9
2008,-0.8,1.88,0.44,-1.5
2009,-0.3,1.12,0.5,-0.6
2010,0.5,1.29,0.5,1.3
2011,-1.4,1.34,0.25,-1.7
2012,-0.7,-0.42,0.5,-1.1
2013,0.3,-0.42,0.81,0
2014,-0.4,0.54,0.81,-0.2
2015,0,0.99,0.75,0.6
2016,1.8,-0.92,0.75,2.5
2017,-0.6,0.18,0.56,-0.7
2018,-0.1,-0.33,0.31,-0.9
2019,0.2,1.44,0.38,0.9
2020,0.1,2,0.44,0.5
2021,-0.6,0.75,0.4,
